 ,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS,FGM,FGA,FGM PG,FGA PG,FG%,GP RANK,W RANK,L RANK,MIN RANK,OFFRTG RANK,DEFRTG RANK,NETRTG RANK,AST% RANK,AST/TO RANK,AST Ratio RANK,OREB% RANK,DREB% RANK,REB% RANK,TO Ratio RANK,eFG% RANK,TS% RANK,USG% RANK,PACE RANK,PIE RANK,FGM RANK,FGA RANK,FGM PG RANK,FGA PG RANK,FG% RANK
59,R.J. Davis,LAL,23,3,1,2,14.3,107.9,86.2,21.7,4.8,0.20,4.3,2.2,6.4,4.3,21.7,79.2,89.1,21.6,98.23,18.5,89
60,Chris Boucher,BOS,32,3,2,1,18.0,127.7,84.3,43.4,4.7,1.00,7.1,8.2,16.2,12.8,7.1,65.9,69.3,19.1,106.96,18.5,119
61,Dereck Lively II,DAL,21,3,2,1,14.8,109.9,91.1,18.8,15.6,5.00,29.4,11.1,18.6,15.4,5.9,72.7,72.7,10.7,108.86,18.3,101
62,Stephen Curry,GSW,37,2,2,0,15.3,105.5,104.1,1.4,29.4,2.50,22.7,2.9,10.0,6.7,9.1,75.0,79.3,21.3,115.11,18.3,73
63,Paul Reed,DET,26,2,1,1,18.4,130.4,93.7,36.7,12.9,1.33,23.5,17.9,28.9,23.4,17.6,60.0,64.3,13.7,103.25,18.3,79
64,Luka Garza,BOS,26,3,2,1,16.3,121.3,103.9,17.4,6.1,1.00,7.7,15.5,19.4,17.5,7.7,53.8,66.5,18.6,103.31,18.2,108
65,Ariel Hukporti,NYK,23,3,3,0,9.1,124.5,76.4,48.2,5.6,1.00,9.1,17.2,37.5,26.4,9.1,85.7,74.2,16.1,95.24,18.1,53
66,Patrick Baldwin Jr.,LAC,22,1,1,0,11.1,159.1,81.8,77.3,22.2,0.67,22.2,0.0,9.1,6.7,33.3,87.5,87.5,29.2,94.85,17.9,22
67,Blake Wesley,POR,22,2,1,1,19.1,106.5,94.5,11.9,12.0,0.75,12.5,3.8,13.0,8.2,16.7,57.1,64.4,18.6,115.65,17.9,93
67,OG Anunoby,NYK,28,2,2,0,20.4,102.2,79.1,23.2,12.5,1.50,14.3,4.3,12.8,8.6,9.5,63.3,66.1,18.2,102.94,17.9,89
69,Karlo Matković,NOP,24,2,2,0,16.2,98.5,82.1,16.4,16.7,1.50,16.7,7.9,12.2,10.1,11.1,58.3,58.2,18.5,99.90,17.8,68
70,Thomas Bryant,CLE,28,3,0,3,11.9,106.1,124.4,-18.3,18.2,0.80,16.0,4.4,18.2,11.2,20.0,71.9,73.0,22.1,110.30,17.7,82
71,Anthony Davis,DAL,32,3,2,1,21.6,100.7,106.8,-6.2,13.3,1.33,9.8,1.4,19.0,10.8,7.3,59.7,64.6,23.1,107.78,17.7,145
72,Yves Missi,NOP,21,2,2,0,20.3,123.0,93.0,30.0,12.5,0.00,28.6,13.9,15.8,15.1,0.0,80.0,80.0,10.2,102.23,17.5,87
73,Trey Murphy III,NOP,25,1,1,0,19.0,97.8,97.9,0.0,0.0,0.00,0.0,0.0,4.8,2.5,12.5,61.5,64.8,32.0,117.68,17.3,46
74,Ivica Zubac,LAC,28,2,1,1,19.5,121.0,120.0,1.0,16.0,1.33,17.4,17.6,26.5,22.1,13.0,85.7,74.2,20.7,99.29,17.3,81
75,Jamal Cain,ORL,26,3,3,0,12.6,125.6,77.8,47.8,3.4,1.00,5.3,4.3,13.0,8.7,5.3,63.3,64.0,16.7,103.86,17.2,82
76,Jimmy Butler III,GSW,36,2,2,0,15.9,115.1,104.1,11.0,22.7,1.67,21.7,0.0,15.8,8.3,13.0,60.0,68.7,22.5,110.42,17.2,73
76,Miller Kopp,CLE,26,2,0,2,7.0,114.3,123.5,-9.2,0.0,0.00,0.0,4.8,11.8,7.9,0.0,80.0,88.8,16.3,118.00,17.2,35
78,Andre Jackson Jr.,MIL,23,3,3,0,10.8,92.3,75.8,16.6,11.8,1.00,16.7,0.0,22.5,12.5,16.7,70.0,72.0,14.3,97.34,17.1,65
79,Tosan Evbuomwan,NYK,24,3,2,1,11.0,123.9,88.1,35.8,16.0,1.33,23.5,2.9,12.5,8.0,17.6,106.3,87.1,17.1,97.16,17.1,67
80,Tristan da Silva,ORL,24,3,3,0,14.6,135.8,114.6,21.2,16.7,1.67,14.7,4.5,18.4,11.8,8.8,64.6,66.8,24.8,104.66,17.0,95
81,Tyrese Maxey,PHI,24,3,0,3,17.6,97.3,109.9,-12.6,33.3,1.33,14.5,1.6,8.9,5.1,10.9,52.8,58.2,35.6,101.65,16.9,112
82,Orlando Robinson,ORL,25,3,3,0,6.9,125.0,90.5,34.5,17.6,3.00,21.4,26.1,25.0,25.6,7.1,50.0,56.4,19.0,99.79,16.9,44
83,Nic Claxton,BKN,26,3,2,1,18.9,115.8,100.9,15.0,16.7,1.40,18.9,12.8,25.7,20.5,13.5,54.3,52.7,22.1,100.35,16.9,120
84,Cam Thomas,BKN,24,3,2,1,22.2,116.4,115.3,1.1,23.4,3.67,21.6,1.8,11.0,7.0,5.9,51.6,60.5,24.8,99.74,16.7,140
85,Brook Lopez,LAC,37,2,1,1,16.6,117.9,81.8,36.1,23.5,2.00,17.4,0.0,9.1,4.7,8.7,70.6,68.8,25.7,95.95,16.7,67
85,DaRon Holmes II,DEN,23,3,2,1,6.6,129.3,90.0,39.3,15.4,2.00,20.0,4.8,7.1,6.1,10.0,91.7,94.5,16.7,97.69,16.7,41
85,Drew Peterson,CHA,25,2,0,2,5.2,109.1,104.5,4.5,20.0,0.00,16.7,0.0,11.1,3.7,0.0,40.0,40.0,17.2,102.19,16.7,22
88,Aaron Gordon,DEN,30,2,1,1,18.6,118.1,124.1,-6.0,13.0,0.75,11.1,7.1,22.2,15.6,14.8,76.7,78.9,27.6,107.39,16.3,83
89,Nick Richards,PHX,27,3,2,1,13.2,126.4,91.1,35.3,11.1,1.00,11.5,10.6,15.6,13.0,11.5,73.3,71.5,20.5,110.07,16.3,91
90,JD Davison,HOU,23,2,2,0,19.7,139.5,102.5,37.0,23.1,6.00,25.0,0.0,13.3,7.1,4.2,75.0,74.1,18.6,98.72,16.3,81
91,Julian Strawther,DEN,23,3,2,1,15.4,85.3,102.0,-16.8,4.2,0.25,4.8,2.3,23.5,13.7,19.0,64.3,67.9,19.2,100.12,16.3,95
92,Reece Beekman,ORL,24,3,3,0,9.2,116.9,83.1,33.9,42.9,1.80,42.9,7.1,2.8,4.7,23.8,66.7,75.1,16.0,102.30,16.3,59
93,Dario Šarić,SAC,31,1,0,1,13.7,140.6,121.9,18.8,0.0,0.00,0.0,0.0,0.0,0.0,0.0,120.0,119.0,18.2,112.39,16.2,32
94,Colin Castleton,ORL,25,2,2,0,6.4,119.4,93.9,25.4,0.0,0.00,0.0,20.0,21.1,20.6,27.3,66.7,70.9,28.9,119.22,16.1,31
94,Shaedon Sharpe,POR,22,2,1,1,24.3,106.3,99.1,7.2,6.9,0.67,5.4,3.3,18.2,10.4,8.1,62.1,61.6,25.5,108.92,16.1,111
96,Brandon Ingram,TOR,28,2,1,1,22.7,117.2,110.1,7.1,17.9,5.00,13.5,3.6,13.9,7.7,2.7,59.3,64.6,28.3,104.44,16.1,99
97,LJ Cryer,GSW,24,3,2,1,10.4,127.3,112.3,15.0,27.8,0.00,20.0,3.2,2.9,3.0,0.0,61.1,63.3,24.4,101.15,16.0,66
98,Payton Pritchard,BOS,27,2,1,1,24.5,120.0,87.6,32.4,15.6,1.25,13.2,2.5,11.3,8.1,10.5,55.4,57.1,27.5,102.90,16.0,105
98,Tony Bradley,IND,27,3,2,1,7.5,108.7,79.2,29.5,6.3,0.00,14.3,0.0,28.1,17.3,0.0,0.0,45.3,11.5,100.56,16.0,46
100,Bryce McGowens,NOP,22,2,2,0,10.8,92.9,82.9,9.9,16.7,0.00,16.7,8.7,3.3,5.7,0.0,50.0,56.4,20.4,92.01,15.9,42
101,Dwight Powell,DAL,34,3,2,1,16.3,100.0,111.1,-11.1,19.2,2.50,29.4,14.0,11.8,12.8,11.8,88.9,87.2,9.9,104.47,15.9,105
102,Franz Wagner,ORL,24,2,2,0,17.8,110.1,98.7,11.4,22.7,1.00,16.7,2.9,13.6,9.0,16.7,42.3,65.2,26.9,105.69,15.9,79
103,Kobe Sanders,LAC,23,1,1,0,12.0,129.2,95.8,33.3,30.0,3.00,37.5,0.0,7.7,5.3,12.5,75.0,75.0,19.2,96.00,15.8,24
104,Josh Giddey,CHI,23,3,2,1,19.9,100.7,118.0,-17.3,45.0,3.60,34.0,0.0,28.1,13.4,9.4,47.9,52.9,22.0,113.59,15.8,143
105,Kevon Harris,HOU,28,2,2,0,8.7,110.5,102.7,7.8,18.2,0.00,14.3,10.5,8.7,9.5,0.0,37.5,52.1,27.3,103.75,15.7,38
106,Julius Randle,MIN,30,2,0,2,20.5,92.1,104.5,-12.4,11.1,0.40,6.3,6.5,12.5,9.6,15.6,52.4,60.1,28.8,104.03,15.7,89
107,Cooper Flagg,DAL,18,3,2,1,19.6,101.5,91.2,10.3,20.0,1.60,18.6,1.4,19.2,10.8,11.6,44.4,52.4,23.0,110.01,15.7,133
108,Josh Minott,BOS,22,3,2,1,25.1,110.5,94.7,15.8,7.8,2.00,11.1,7.3,15.9,11.6,5.6,58.9,61.3,15.7,109.08,15.6,172
109,Michael Porter Jr.,BKN,27,3,2,1,20.3,117.5,109.6,7.9,14.0,1.00,14.3,5.9,14.9,11.0,14.3,66.1,66.0,24.7,98.72,15.5,126
110,Zach Collins,CHI,27,3,2,1,17.5,109.8,126.9,-17.1,23.5,1.33,23.5,8.2,16.3,12.2,17.6,92.1,91.0,19.1,110.31,15.5,122
111,CJ McCollum,WAS,34,1,0,1,24.7,100.0,75.0,25.0,14.3,0.50,10.0,3.4,8.5,6.6,20.0,67.9,67.9,26.9,116.84,15.4,60
112,Kris Murray,POR,25,2,1,1,21.0,111.6,114.6,-3.0,7.1,2.00,14.3,3.8,9.8,6.4,7.1,88.9,89.3,10.2,109.32,15.4,95
113,Chucky Hepburn,TOR,22,4,3,1,14.9,92.6,105.1,-12.6,33.3,1.83,24.4,0.0,7.3,3.1,13.3,55.8,59.4,21.7,108.98,15.2,135
114,Quenton Jackson,IND,27,2,2,0,10.8,142.9,95.7,47.1,33.3,2.00,31.6,12.5,9.5,10.8,15.8,88.9,86.0,22.4,107.16,15.2,49
115,Kevin Porter Jr.,MIL,25,3,3,0,17.4,113.8,113.7,0.1,41.2,7.00,36.8,1.7,13.7,7.2,5.3,60.0,58.5,19.4,107.23,15.1,116
116,Nikola Jović,MIA,22,3,0,3,18.9,98.4,101.6,-3.1,34.3,12.00,37.5,6.3,16.1,11.2,3.1,50.0,57.7,14.3,108.00,15.1,127
117,Deni Avdija,POR,24,2,1,1,21.1,120.8,126.6,-5.8,14.3,1.67,15.6,6.0,26.8,15.4,9.4,52.8,61.1,23.3,107.97,15.1,96
118,Tre Jones,CHI,25,3,2,1,22.4,108.8,103.8,5.0,29.4,3.00,40.5,0.0,13.0,7.1,13.5,83.3,85.4,12.8,113.70,15.0,160
119,Precious Achiuwa,MIA,26,4,0,4,11.7,87.5,100.0,-12.5,4.0,0.20,3.8,7.5,23.9,16.9,19.2,41.2,47.3,21.2,106.73,15.0,104
120,Tristan Vukcevic,WAS,22,2,1,1,16.7,98.7,140.8,-42.1,25.0,0.67,17.4,11.8,10.8,11.3,26.1,86.4,90.9,22.4,108.50,14.9,75
121,Karl-Anthony Towns,NYK,29,3,3,0,20.0,101.6,89.8,11.8,10.8,0.80,11.4,8.1,18.8,13.3,14.3,26.3,49.3,20.8,101.37,14.8,127
122,P.J. Washington,DAL,27,3,2,1,18.4,117.6,84.9,32.7,17.9,1.75,17.5,3.2,12.5,8.2,10.0,45.7,55.7,22.4,108.93,14.8,125
123,Donovan Mitchell,CLE,29,2,0,2,21.5,99.0,103.8,-4.8,23.1,1.20,17.6,2.2,10.9,6.9,14.7,59.5,62.5,26.2,114.42,14.8,101
124,Brice Sensabaugh,UTA,21,3,0,3,24.3,114.7,129.0,-14.3,7.3,1.50,6.3,1.4,6.0,3.9,4.2,69.7,74.7,26.3,102.34,14.8,156
125,Giannis Antetokounmpo,MIL,30,1,1,0,21.5,129.2,110.4,18.8,17.6,3.00,21.4,11.5,31.8,20.8,7.1,60.0,59.7,20.4,107.33,14.8,48
126,Julian Champagnie,SAS,24,4,4,0,21.1,118.4,108.8,9.6,13.8,2.67,18.6,0.0,14.1,6.9,7.0,80.0,81.2,17.2,102.78,14.8,179
127,Isaiah Crawford,HOU,23,2,2,0,7.3,121.9,112.9,9.0,10.0,0.00,14.3,0.0,26.7,12.9,0.0,58.3,58.3,15.4,103.09,14.8,32
128,Jordan Walsh,BOS,21,1,1,0,7.8,137.5,93.3,44.2,16.7,0.00,50.0,0.0,23.1,14.3,0.0,100,100,5.6,95.18,14.7,16
129,Jordan Hawkins,NOP,23,2,2,0,17.9,106.8,83.3,23.5,10.5,2.00,7.4,8.1,4.5,6.2,3.7,47.7,52.6,29.4,97.39,14.7,73
130,Kawhi Leonard,LAC,34,2,1,1,18.5,135.1,125.3,9.7,10.3,3.00,10.7,0.0,6.5,3.1,3.6,70.0,74.4,28.1,98.77,14.6,77
131,Brandin Podziemski,GSW,22,3,2,1,20.4,115.9,112.3,3.6,30.6,2.50,31.3,2.0,13.0,8.3,12.5,65.4,67.0,22.3,108.18,14.6,138
132,Jevon Carter,CHI,30,3,2,1,14.6,130.8,112.0,18.8,16.7,0.00,13.9,1.9,6.5,4.1,0.0,56.5,57.3,28.7,100.44,14.6,91
133,Noah Clowney,BKN,21,3,2,1,17.3,122.0,100.0,22.0,6.7,0.67,7.1,10.5,6.3,8.3,10.7,73.8,73.3,19.5,100.41,14.6,109
134,Marques Bolden,GSW,27,2,1,1,5.7,100.0,150.0,-50.0,0.0,0.00,0.0,11.8,22.2,15.4,0.0,42.9,51.4,27.3,96.98,14.4,24
